id,selection_tier,answer,query_raw,safe_prediction,safe_prediction_count,safe_formula_count,safe_formulas,all_predictions
1deaf759,answer_only_keep,10100111,11110100,10100111,1,2,"and(not(shl7),rol3)|choose(shl7,shr1,rol3)",10100111
48db5ccf,answer_only_keep,01101110,01110110,01101110,1,2,"xor(not(shl4),not(shr3))|xor(shl4,shr3)",01101110
62dba403,answer_only_keep,10011001,00010011,10011001,1,2,"xor(not(shl3),not(shr4))|xor(shl3,shr4)",10011001
6686f0de,answer_only_keep,10110111,00111011,10110111,1,2,"xor(not(shl4),not(shr3))|xor(shl4,shr3)",10110111
084a4496,answer_only_keep,11000111,00111110,11000111,1,3,"choose(not(shr7),ror3,not(nibble_swap))|xor(not(ror3),not(shr7))|xor(ror3,shr7)",11000111
5a0c141c,answer_only_keep,01010000,10000100,01010000,1,2,"xor(not(shl4),not(shr3))|xor(shl4,shr3)",01010000
934a2c55,answer_only_keep,00101011,11010101,,2,5,"choose(not(shl7),rol1,not(nibble_swap))|choose(not(shl7),rol1,ror2)|choose(shl7,ror2,rol1)|xor(not(rol1),not(shl7))|xor(rol1,shl7)",00101011|10101011
eeb60061,answer_only_keep,00000101,01010000,00000101,1,2,"xor(nibble_swap,shl7)|xor(nibble_swap,shl7)",00000101
368f20dd,answer_only_keep,10000101,01010000,10000101,1,2,"xor(not(shl3),not(shr4))|xor(shl3,shr4)",10000101
a41a3626,answer_only_keep,10111011,10110011,,2,8,"choose(not(shl7),nibble_swap,rol1)|choose(not(shl7),nibble_swap,rol2)|choose(not(shl7),nibble_swap,x)|choose(shl7,rol1,nibble_swap)|choose(shl7,rol2,nibble_swap)|choose(shl7,x,nibble_swap)|xor(nibble_swap,shl7)|xor(nibble_swap,shl7)",00111011|10111011
a8887238,answer_only_keep,00101000,10000100,00101000,1,2,"xor(not(shl3),not(shr4))|xor(shl3,shr4)",00101000
d4e29ed7,answer_only_keep,11111011,01101111,11111011,1,2,"xor(not(shl5),not(shr2))|xor(shl5,shr2)",11111011
d8ef1dae,answer_only_keep,11011011,01011101,11011011,1,2,"xor(not(shl4),not(shr3))|xor(shl4,shr3)",11011011
07434d56,answer_only_keep,11011001,01001101,11011001,1,2,"xor(not(shl4),not(shr3))|xor(shl4,shr3)",11011001
1c7c1246,answer_only_keep,00100110,01001100,00100110,1,3,"choose(not(shl6),shr1,not(ror1))|xor(not(shl6),not(shr1))|xor(shl6,shr1)",00100110
41beb86c,answer_only_keep,01010000,10010101,01010000,1,2,"xor(not(shl2),not(shr5))|xor(shl2,shr5)",01010000
4c237bf3,answer_only_keep,10000011,11100001,10000011,1,2,"xor(not(shl2),not(shr5))|xor(shl2,shr5)",10000011
e16e7f6d,answer_only_keep,01110100,01001110,01110100,1,2,"xor(not(shl3),not(shr4))|xor(shl3,shr4)",01110100
07d8149a,answer_only_keep,01000000,01111010,01000000,1,4,"and(rol1,shl5)|and(rol1,shl5)|choose(not(shl5),shl7,rol1)|choose(shl5,rol1,shl7)",01000000
093de4ea,answer_only_keep,01101010,11010100,01101010,1,4,"and(not(shl5),ror1)|choose(not(shl5),ror1,shr2)|choose(shl5,shr2,ror1)|choose(shl5,shr3,ror1)",01101010
0cfc74d4,answer_only_keep,11011000,11000110,11011000,1,4,"choose(not(shl7),ror3,rol2)|choose(shl7,rol2,ror3)|xor(not(ror3),not(shl7))|xor(ror3,shl7)",11011000
104dc8aa,answer_only_keep,00000010,01001100,00000010,1,5,"choose(not(shl7),shr5,not(rol1))|choose(not(shr7),shr5,ror2)|choose(shr7,ror2,shr5)|shr5|shr5",00000010
10dfe5c5,answer_only_keep,10100000,00101011,10100000,1,4,"and(rol2,shl4)|and(rol2,shl4)|choose(not(rol2),shr7,shl4)|choose(rol2,shl4,shr7)",10100000
114a7439,answer_only_keep,01110001,00111110,01110001,1,5,"and(not(shl6),rol3)|choose(not(shl6),rol3,x)|choose(shl6,shr2,rol3)|choose(shl6,x,rol3)|majority(not(shl6),rol3,shl7)",01110001
12897b38,answer_only_keep,00100110,00110101,,2,6,"and(not(shl7),ror3)|choose(not(shl7),ror3,not(rol3))|choose(not(shl7),ror3,not(x))|choose(not(shl7),ror3,rol1)|choose(shl7,rol1,ror3)|choose(shl7,shr1,ror3)",00100110|10100110
16e73f0e,answer_only_keep,00000001,10011100,00000001,1,4,"and(ror2,shr4)|and(ror2,shr4)|choose(not(ror2),shl7,shr4)|choose(ror2,shr4,shl7)",00000001
18c54744,answer_only_keep,00000000,11001001,00000000,1,4,"and(rol1,shl2)|and(rol1,shl2)|choose(not(rol1),shl7,shl2)|choose(rol1,shl2,shl7)",00000000
1f69a85f,answer_only_keep,10111101,11101111,10111101,1,4,"choose(not(shr6),rol2,shr7)|choose(shr6,shr7,rol2)|xor(not(shl2),not(shr7))|xor(shl2,shr7)",10111101
209e62c5,answer_only_keep,01111001,01011110,01111001,1,17,"choose(not(shl1),rol2,shl2)|choose(not(shl2),rol2,not(shr5))|choose(not(shl7),rol2,not(x))|choose(not(shl7),rol2,rol3)|choose(not(shr7),rol2,ror1)|choose(not(shr7),rol2,ror2)|choose(not(shr7),rol2,ror3)|choose(shl1,shl2,rol2)|choose(shl7,rol3,rol2)|choose(shr5,shr6,rol2)|choose(shr7,ror1,rol2)|choose(shr7,ror2,rol2)|choose(shr7,ror3,rol2)|or(rol2,shl7)|or(rol2,shl7)|rol2|rol2",01111001
2cf45d07,answer_only_keep,10101010,01010111,10101010,1,4,"majority(ror1,ror3,shl3)|majority(ror1,ror3,shl3)|majority(ror3,shl3,shr1)|majority(ror3,shl3,shr1)",10101010
2d6922f4,answer_only_keep,10000000,00101100,10000000,1,10,"choose(not(shl5),shr7,not(shr2))|choose(not(shr2),shl5,shr7)|choose(not(shr4),shl5,shr7)|choose(not(shr7),shl5,not(x))|choose(not(shr7),shl5,ror2)|choose(shr2,shr7,shl5)|choose(shr4,shr7,shl5)|choose(shr7,ror2,shl5)|xor(not(shl5),not(shr7))|xor(shl5,shr7)",10000000
3376d8b7,answer_only_keep,00100010,01000100,00100010,1,10,"and(not(rol1),ror1)|and(not(shl1),ror1)|choose(not(rol1),ror1,not(shl1))|choose(not(rol1),ror1,shr6)|choose(not(ror1),shr7,not(rol1))|choose(not(shl1),ror1,shr6)|choose(rol1,shr6,ror1)|choose(rol1,shr7,ror1)|choose(shl1,shr6,ror1)|choose(shl1,shr7,ror1)",00100010
343095d3,answer_only_keep,01010100,01111010,01010100,1,4,"and(not(shl4),rol1)|choose(not(shl4),rol1,shr3)|choose(shl4,shr3,rol1)|choose(shl4,shr4,rol1)",01010100
3a3f05d5,answer_only_keep,00011101,10111011,00011101,1,4,"and(not(shl6),ror1)|and(not(shl6),shr1)|choose(shl6,shr2,ror1)|choose(shl6,shr2,shr1)",00011101
3a90fdf6,answer_only_keep,10100000,11111101,10100000,1,4,"and(rol2,shl5)|and(rol2,shl5)|choose(not(rol2),shr7,shl5)|choose(rol2,shl5,shr7)",10100000
5028d953,answer_only_keep,00010000,01000001,00010000,1,5,"choose(not(shr7),shr2,not(ror3))|choose(not(shr7),shr2,ror1)|choose(shr7,ror1,shr2)|shr2|shr2",00010000
50e57462,answer_only_keep,11100111,01111100,11100111,1,4,"or(shl3,shr4)|or(shl3,shr4)|xor(not(shl3),not(shr4))|xor(shl3,shr4)",11100111
512dd86d,answer_only_keep,00000001,01101110,00000001,1,4,"and(ror3,shr5)|and(ror3,shr5)|majority(ror3,shl7,shr5)|majority(ror3,shl7,shr5)",00000001
522058b9,answer_only_keep,11010000,01011010,11010000,1,6,"choose(not(shl3),shr7,not(shl7))|choose(not(shr7),shl3,not(ror2))|choose(not(shr7),shl3,ror1)|choose(shr7,ror1,shl3)|xor(not(shl3),not(shr7))|xor(shl3,shr7)",11010000
52a9d5e4,answer_only_keep,11011111,00111111,11011111,1,4,"or(shl6,shr1)|or(shl6,shr1)|xor(not(shl6),not(shr1))|xor(shl6,shr1)",11011111
551e93e7,answer_only_keep,00000000,00000111,00000000,1,4,"and(ror2,shr4)|and(ror2,shr4)|choose(not(ror2),shr7,shr4)|choose(ror2,shr4,shr7)",00000000
5b16b484,answer_only_keep,10010000,10110100,10010000,1,4,"and(ror3,shl2)|and(ror3,shl2)|choose(not(ror3),shl7,shl2)|choose(ror3,shl2,shl7)",10010000
62296199,answer_only_keep,00001000,10000001,,3,7,"choose(not(shl4),nibble_swap,shl7)|choose(not(shl7),shr4,not(rol1))|choose(not(shl7),shr4,not(rol2))|choose(shl4,shl7,nibble_swap)|majority(not(shr6),shr4,shr5)|shr4|shr4",00001000|00001100|10001000
632444af,answer_only_keep,10000100,11001010,10000100,1,4,"majority(nibble_swap,rol1,shr5)|majority(nibble_swap,rol1,shr5)|majority(nibble_swap,shl1,shr5)|majority(nibble_swap,shl1,shr5)",10000100
66bd639f,answer_only_keep,00000001,01010010,00000001,1,4,"choose(not(rol1),nibble_swap,shr3)|choose(not(shl1),nibble_swap,shr3)|choose(rol1,shr3,nibble_swap)|choose(shl1,shr3,nibble_swap)",00000001
66e5eb55,answer_only_keep,10101110,00111101,10101110,1,4,"majority(ror1,ror3,shl3)|majority(ror1,ror3,shl3)|majority(ror3,shl3,shr1)|majority(ror3,shl3,shr1)",10101110
6b01e0cf,answer_only_keep,01000000,00100001,01000000,1,5,"choose(not(shr4),shl6,shr7)|choose(not(shr7),shl6,not(ror3))|choose(shr4,shr7,shl6)|xor(not(shl6),not(shr7))|xor(shl6,shr7)",01000000
6bef21ca,answer_only_keep,01111101,10011111,01111101,1,4,"choose(not(shr7),shl2,x)|choose(shr7,x,shl2)|xor(not(shl2),not(shr7))|xor(shl2,shr7)",01111101
6e714f65,answer_only_keep,00000000,01000000,00000000,1,4,"majority(rol1,ror2,shr1)|majority(rol1,ror2,shr1)|majority(ror2,shl1,shr1)|majority(ror2,shl1,shr1)",00000000
6f91481e,answer_only_keep,11000000,01100111,11000000,1,4,"and(rol1,shl5)|and(rol1,shl5)|majority(rol1,shl5,shl7)|majority(rol1,shl5,shl7)",11000000
72ffb208,answer_only_keep,00001000,01011100,00001000,1,4,"and(rol1,shr3)|and(rol1,shr3)|majority(rol1,shl7,shr3)|majority(rol1,shl7,shr3)",00001000
74ada555,answer_only_keep,10000000,01100110,10000000,1,17,"choose(not(reverse),shl6,shr7)|choose(not(shl6),shr7,not(ror1))|choose(not(shl6),shr7,not(shl7))|choose(not(shl6),shr7,not(shr1))|choose(not(shr2),ror2,shr7)|choose(not(shr4),shl6,shr7)|choose(not(shr6),shl6,rol1)|choose(not(shr6),shl6,shr7)|choose(not(shr7),shl6,not(rol3))|choose(not(shr7),shl6,not(x))|choose(reverse,shr7,shl6)|choose(shr2,shr7,ror2)|choose(shr4,shr7,shl6)|choose(shr6,rol1,shl6)|choose(shr6,shr7,shl6)|xor(not(shl6),not(shr7))|xor(shl6,shr7)",10000000
7c980689,answer_only_keep,11000011,00000111,11000011,1,4,"or(shl6,shr1)|or(shl6,shr1)|xor(not(shl6),not(shr1))|xor(shl6,shr1)",11000011
88ae9960,answer_only_keep,00000000,10100101,00000000,1,8,"and(nibble_swap,shl7)|and(nibble_swap,shl7)|and(rol3,shl7)|and(rol3,shl7)|and(ror2,shl7)|and(ror2,shl7)|choose(nibble_swap,shl7,shl6)|choose(nibble_swap,shl7,shl6)",00000000
89dfa4c2,answer_only_keep,00111010,10101110,00111010,1,5,"and(not(shl6),rol2)|choose(not(shl6),rol2,shr1)|choose(shl6,shr1,rol2)|choose(shl6,shr2,rol2)|majority(not(shl6),rol2,shl7)",00111010
8b4c71ba,answer_only_keep,11001100,01100100,11001100,1,4,"or(rol1,ror3)|or(rol1,ror3)|or(ror3,shl1)|or(ror3,shl1)",11001100
9238e8d6,answer_only_keep,11101010,10101110,11101010,1,6,"and(nibble_swap,not(shl7))|choose(not(shl7),nibble_swap,rol3)|choose(not(shl7),nibble_swap,x)|choose(shl7,rol3,nibble_swap)|choose(shl7,shr1,nibble_swap)|choose(shl7,x,nibble_swap)",11101010
92ce2e1f,answer_only_keep,01110000,11100001,01110000,1,4,"and(not(shl2),ror1)|choose(not(shl2),ror1,shl6)|choose(shl2,shl6,ror1)|choose(shl2,shr6,ror1)",01110000
936c3c1e,answer_only_keep,00000000,11001010,00000000,1,4,"and(rol2,shl5)|and(rol2,shl5)|choose(not(rol2),shl7,shl5)|choose(rol2,shl5,shl7)",00000000
942ddd73,answer_only_keep,00000011,11110001,00000011,1,4,"choose(not(rol1),shr6,nibble_swap)|choose(rol1,nibble_swap,shr6)|majority(nibble_swap,shl1,shr6)|majority(nibble_swap,shl1,shr6)",00000011
95771a39,answer_only_keep,00000100,10010000,00000100,1,4,"choose(not(shl1),ror2,ror1)|choose(not(shl1),ror2,shr1)|choose(shl1,ror1,ror2)|choose(shl1,shr1,ror2)",00000100
99bda3b2,answer_only_keep,11010010,10110100,11010010,1,5,"and(not(shl6),rol2)|choose(not(shl6),rol2,not(nibble_swap))|choose(not(shl6),rol2,shr1)|choose(shl6,shr1,rol2)|choose(shl6,shr2,rol2)",11010010
9dfcd4be,answer_only_keep,10101010,10101010,10101010,1,4,"choose(not(rol1),nibble_swap,shr2)|choose(not(shl1),nibble_swap,shr2)|choose(rol1,shr2,nibble_swap)|choose(shl1,shr2,nibble_swap)",10101010
a1c20432,answer_only_keep,00000000,01000000,00000000,1,6,"choose(not(shl5),shr7,not(shl7))|choose(not(shr5),shl5,shr7)|choose(not(shr7),shl5,not(nibble_swap))|choose(shr5,shr7,shl5)|xor(not(shl5),not(shr7))|xor(shl5,shr7)",00000000
a4146eb7,answer_only_keep,00001000,11010010,00001000,1,4,"majority(ror1,shl6,shr3)|majority(ror1,shl6,shr3)|majority(shl6,shr1,shr3)|majority(shl6,shr1,shr3)",00001000
a7cbf6fd,answer_only_keep,01100000,00010110,01100000,1,8,"choose(not(shl4),shr7,not(shl7))|choose(not(shr4),nibble_swap,shr7)|choose(not(shr7),shl4,not(ror3))|choose(not(shr7),shl4,ror2)|choose(shr4,shr7,nibble_swap)|choose(shr7,ror2,shl4)|xor(not(shl4),not(shr7))|xor(shl4,shr7)",01100000
aedef8e4,answer_only_keep,00010000,01010001,00010000,1,5,"choose(not(shr4),nibble_swap,shr7)|choose(not(shr7),shl4,not(rol2))|choose(shr4,shr7,nibble_swap)|xor(not(shl4),not(shr7))|xor(shl4,shr7)",00010000
b102a8a8,answer_only_keep,10001010,00010101,10001010,1,4,"and(not(shl4),ror1)|choose(not(shl4),ror1,shr2)|choose(shl4,shr2,ror1)|choose(shl4,shr4,ror1)",10001010
b287ee74,answer_only_keep,00000000,00111010,,2,7,"choose(not(shl6),shr6,not(reverse))|choose(not(shl7),shr6,not(rol1))|choose(not(shl7),shr6,not(ror2))|or(shr6,shr7)|or(shr6,shr7)|shr6|shr6",00000000|10000000
b634898d,answer_only_keep,11000000,01100011,11000000,1,18,"choose(not(shl6),shr7,not(shr1))|choose(not(shr1),shl6,shr7)|choose(not(shr2),ror2,shr7)|choose(not(shr4),shl6,shr7)|choose(not(shr6),shl6,rol1)|choose(not(shr6),shl6,shr7)|choose(not(shr7),shl6,not(rol3))|choose(not(shr7),shl6,not(ror3))|choose(not(shr7),shl6,not(x))|choose(not(shr7),shl6,ror1)|choose(shr1,shr7,shl6)|choose(shr2,shr7,ror2)|choose(shr4,shr7,shl6)|choose(shr6,rol1,shl6)|choose(shr6,shr7,shl6)|choose(shr7,ror1,shl6)|xor(not(shl6),not(shr7))|xor(shl6,shr7)",11000000
b9734394,answer_only_keep,00000010,01011101,00000010,1,4,"and(ror1,shr5)|and(ror1,shr5)|choose(not(ror1),shr7,shr5)|choose(ror1,shr5,shr7)",00000010
b9e7c7c4,answer_only_keep,00000000,01111110,00000000,1,4,"and(nibble_swap,shr7)|and(nibble_swap,shr7)|majority(nibble_swap,shl7,shr7)|majority(nibble_swap,shl7,shr7)",00000000
ba47a3bf,answer_only_keep,01000000,11110001,01000000,1,4,"and(ror1,shl6)|and(ror1,shl6)|majority(ror1,shl6,shr7)|majority(ror1,shl6,shr7)",01000000
baeb4a11,answer_only_keep,11010000,00011010,11010000,1,14,"choose(not(shl3),shr7,not(shr4))|choose(not(shr4),shl3,shr7)|choose(not(shr5),rol3,shr7)|choose(not(shr7),shl3,nibble_swap)|choose(not(shr7),shl3,not(rol2))|choose(not(shr7),shl3,not(ror1))|choose(not(shr7),shl3,not(ror2))|choose(not(shr7),shl3,not(ror3))|choose(not(shr7),shl3,not(x))|choose(shr4,shr7,shl3)|choose(shr5,shr7,rol3)|choose(shr7,nibble_swap,shl3)|xor(not(shl3),not(shr7))|xor(shl3,shr7)",11010000
bdd63604,answer_only_keep,01010101,01010101,01010101,1,7,"and(nibble_swap,not(shl5))|choose(not(ror3),nibble_swap,shr4)|choose(not(shl5),nibble_swap,shr2)|choose(ror3,shr4,nibble_swap)|choose(shl5,shr2,nibble_swap)|choose(shl5,shr3,nibble_swap)|majority(nibble_swap,not(shl5),shl7)",01010101
c6fa3e3f,answer_only_keep,00110011,11001101,00110011,1,8,"choose(not(shl7),shr2,not(rol1))|choose(not(shl7),shr2,rol3)|choose(not(shr7),shr2,not(ror1))|choose(shl7,rol3,shr2)|or(shr2,shr7)|or(shr2,shr7)|shr2|shr2",00110011
cc5011ac,answer_only_keep,11011101,11101110,11011101,1,5,"majority(not(shr6),rol1,shr3)|or(rol1,shr3)|or(rol1,shr3)|or(shl1,shr3)|or(shl1,shr3)",11011101
ce094207,answer_only_keep,00101011,10110010,00101011,1,5,"and(nibble_swap,not(shl7))|choose(not(shl7),nibble_swap,not(rol3))|choose(not(shl7),nibble_swap,ror2)|choose(shl7,ror2,nibble_swap)|choose(shl7,shr1,nibble_swap)",00101011
cf3629fc,answer_only_keep,11101000,10010111,11101000,1,4,"choose(not(shl2),rol3,ror1)|choose(not(shl2),rol3,shr1)|choose(shl2,ror1,rol3)|choose(shl2,shr1,rol3)",11101000
d030b265,answer_only_keep,11000000,00001100,11000000,1,4,"choose(nibble_swap,not(shr4),shr7)|choose(nibble_swap,shl4,shr7)|xor(not(shl4),not(shr7))|xor(shl4,shr7)",11000000
d2695f15,answer_only_keep,11111110,10001111,11111110,1,4,"choose(not(shl6),rol2,ror1)|choose(shl6,ror1,rol2)|xor(not(rol2),not(shl6))|xor(rol2,shl6)",11111110
d2d230d5,answer_only_keep,01100000,00000011,01100000,1,8,"choose(not(shr6),shl5,not(reverse))|choose(not(shr6),shl5,not(shr7))|choose(not(shr6),shl5,ror2)|choose(not(shr6),shl5,x)|choose(shr6,ror2,shl5)|choose(shr6,x,shl5)|xor(not(shl5),not(shr6))|xor(shl5,shr6)",01100000
d40b3aa3,answer_only_keep,00000010,10101100,00000010,1,10,"and(ror1,shr6)|and(ror1,shr6)|majority(ror1,shl5,shr6)|majority(ror1,shl5,shr6)|majority(ror1,shl6,shr6)|majority(ror1,shl6,shr6)|majority(shl5,shr1,shr6)|majority(shl5,shr1,shr6)|majority(shl6,shr1,shr6)|majority(shl6,shr1,shr6)",00000010
d4612468,answer_only_keep,00000000,01011000,00000000,1,4,"and(shr7,x)|and(shr7,x)|shr7|shr7",00000000
d547f717,answer_only_keep,00000000,00000010,00000000,1,4,"choose(not(shl5),shr4,shl7)|choose(shl5,shl7,shr4)|xor(not(shl7),not(shr4))|xor(shl7,shr4)",00000000
d6187157,answer_only_keep,01001000,11101100,01001000,1,4,"majority(rol1,shl3,shr4)|majority(rol1,shl3,shr4)|majority(shl1,shl3,shr4)|majority(shl1,shl3,shr4)",01001000
d727ad5f,answer_only_keep,00000010,10010101,00000010,1,4,"choose(not(shl4),shr6,shl7)|choose(shl4,shl7,shr6)|shr6|shr6",00000010
d996d0b8,answer_only_keep,00000011,01111100,00000011,1,5,"choose(not(shr7),shr5,nibble_swap)|choose(not(shr7),shr5,not(rol2))|choose(shr7,nibble_swap,shr5)|shr5|shr5",00000011
da4c92a3,answer_only_keep,10000000,01110011,10000000,1,4,"and(rol3,shl7)|and(rol3,shl7)|choose(not(rol3),shr7,shl7)|choose(rol3,shl7,shr7)",10000000
dc99f250,answer_only_keep,00000010,10001010,00000010,1,4,"choose(not(shl5),shr6,shl7)|choose(shl5,shl7,shr6)|xor(not(shl7),not(shr6))|xor(shl7,shr6)",00000010
dd3d9046,answer_only_keep,10100000,00010101,10100000,1,4,"and(rol3,shl5)|and(rol3,shl5)|choose(not(rol3),shr7,shl5)|choose(rol3,shl5,shr7)",10100000
e0eba119,answer_only_keep,00010010,01010010,00010010,1,4,"and(not(shl1),rol3)|choose(not(rol1),rol3,not(shl1))|choose(rol1,shr7,rol3)|choose(shl1,shr7,rol3)",00010010
e2b02e13,answer_only_keep,01111110,11110011,01111110,1,4,"and(not(shl7),ror3)|choose(not(shl7),ror3,nibble_swap)|choose(shl7,nibble_swap,ror3)|choose(shl7,shr1,ror3)",01111110
e2f184b4,answer_only_keep,00000001,00001111,,2,13,"and(not(shl4),shr3)|choose(not(shl5),ror3,shr2)|choose(not(shl6),shr3,shr1)|choose(not(shl7),shr3,not(rol3))|choose(not(shl7),shr3,x)|choose(not(shr7),shr3,nibble_swap)|choose(shl4,shr4,shr3)|choose(shl5,shr2,ror3)|choose(shl6,shr1,shr3)|choose(shl7,x,shr3)|choose(shr7,nibble_swap,shr3)|shr3|shr3",00000001|10000001
e651c3ee,answer_only_keep,01101001,10101101,,3,7,"choose(not(shl3),shr7,not(shr4))|choose(not(shr5),rol3,shr7)|choose(not(shr7),shl3,not(rol2))|choose(not(shr7),shl3,not(x))|choose(shr5,shr7,rol3)|xor(not(shl3),not(shr7))|xor(shl3,shr7)",01100001|01101000|01101001
e6af8e6f,answer_only_keep,00010001,10000001,00010001,1,5,"choose(nibble_swap,not(shr4),shr7)|choose(nibble_swap,shl4,shr7)|choose(not(shr7),shl4,not(ror3))|xor(not(shl4),not(shr7))|xor(shl4,shr7)",00010001
