id,query_raw,answer,query_only_matching_families,same_operator_example_count,candidate_prediction_count,candidate_predictions,rejection_reason,prompt_example_lines,source
1b6366af,65!68,03!,abs_diff_2d_op_suffix,1,0,,low_shot_example_conflict,14/75 = 7332 || 25/82 = 6541 || 96<62 = 59 || 37!64 = 72! || 62/37 = 8981,known_family
2049f01d,52-75,23,abs_diff_2d,1,0,,low_shot_example_conflict,86+62 = 59 || 48+71 = 201 || 37-52 = 84 || 29*75 = 4425 || 16+11 = 37,known_family
34c563c5,45`41,04`,abs_diff_2d_op_suffix,1,0,,low_shot_example_conflict,28`44 = 83` || 77\54 = 221 || 84\34 = 19,known_family
891942ba,85-88,03,abs_diff_2d,1,0,,low_shot_example_conflict,72+29 = 2972 || 91-11 = 8 || 66*11 = 627 || 88+19 = 1988,known_family
92471ca4,02-38,36,abs_diff_2d,1,0,,low_shot_example_conflict,71+45 = 4571 || 37+09 = 0937 || 34-63 = 7,known_family
e247d364,65!76,11,abs_diff_2d,1,0,,low_shot_example_conflict,29!81 = 47 || 08{33 = 0462 || 19|99 = 091,known_family
03f07b43,81`20,61,abs_diff_2d,1,2,1|61,low_shot_format_ambiguous,55`39 = 16 || 61\65 = 126 || 42>23 = 4223 || 17\21 = 38,known_family
0bcffccd,44`54,10,abs_diff_2d,1,4,-10|10|44|`10,low_shot_format_ambiguous,61@52 = 3172 || 87`56 = 31 || 68@72 = 4896 || 54]53 = 108,known_family
157228d7,50*15,35,abs_diff_2d,1,2,*35|35,low_shot_format_ambiguous,28<40 = 69 || 82<68 = 151 || 28*78 = *50,known_family
47dc6570,48#26,22,abs_diff_2d,1,1,#48,low_shot_format_ambiguous,79+05 = 1584 || 59+03 = 1582 || 87+37 = 5965 || 67+65 = 7524 || 51#03 = #51,known_family
53b48918,91+10,81,abs_diff_2d,1,3,+81|-81|81,low_shot_format_ambiguous,70|42 = 7042 || 51#94 = 4794 || 56#88 = 4928 || 22+71 = 49,known_family
56c59dfd,96-74,22,abs_diff_2d,1,2,-22|22,low_shot_format_ambiguous,15+43 = 1543 || 34-87 = -53 || 28!85 = 112 || 14+75 = 1475 || 94+77 = 9477,known_family
74fff108,65^16,49,abs_diff_2d,1,4,-49|16|49|^49,low_shot_format_ambiguous,69-27 = 95 || 58^91 = 33 || 71?49 = 3479 || 41?10 = 410 || 26-82 = 107,known_family
7c5c7b73,21!34,13,abs_diff_2d,1,4,!13|-13|13|21,low_shot_format_ambiguous,62)72 = 4464 || 57)17 = 969 || 30!18 = 12,known_family
8158a14c,49)03,46,abs_diff_2d,1,3,)3|)46|46,low_shot_format_ambiguous,62)75 = )13 || 35(11 = 1135 || 38(64 = 6438,known_family
9b458fbc,34[73,39,abs_diff_2d,1,2,39|5,low_shot_format_ambiguous,84:48 = 4032 || 20@34 = 2034 || 12:85 = 1020 || 42[50 = 8,known_family
b03ab026,97{23,74,abs_diff_2d,1,2,5|74,low_shot_format_ambiguous,10&65 = 650 || 98{96 = 2 || 54&31 = 1674,known_family
b7b1d1a8,"74""17",57,abs_diff_2d,1,2,"""57|57",low_shot_format_ambiguous,"41""98 = ""57 || 47]64 = 3009 || 58-87 = 144 || 91-84 = 174 || 16-30 = 45",known_family
cf84c023,45*32,13,abs_diff_2d,1,2,*13|13,low_shot_format_ambiguous,78]94 = 7331 || 23*98 = *75 || 93]42 = 3905,known_family
d1bd7478,37:67,30,abs_diff_2d,1,4,-30|30|37|:30,low_shot_format_ambiguous,89$90 = 8010 || 88:77 = 11 || 10|87 = 98 || 41|87 = 129,known_family
d8bc44b3,37-06,31,abs_diff_2d,1,3,-31|31|6,low_shot_format_ambiguous,01+55 = 56 || 35*04 = 9112 || 85-98 = 13,known_family
e07fffa6,36-32,04,abs_diff_2d,1,2,-4|4,low_shot_format_ambiguous,08*89 = 9387 || 42-88 = -46 || 92+62 = 65,known_family
2beb5851,10[33,23,abs_diff_2d,2,4,-23|10|23|[23,query_format_ambiguous,50@99 = 4950 || 81[43 = 38 || 85[65 = 20,known_family
f6ca90f6,54{23,31,abs_diff_2d,2,3,31|{23|{31,query_format_ambiguous,95&98 = 192 || 12&95 = 106 || 69{88 = {19 || 42&95 = 136 || 43{53 = {10,known_family
936b3ae5,95>81,14>,abs_diff_2d_op_suffix,3,0,,same_operator_examples_conflict,37}11 = 308 || 93|79 = 9379 || 94>85 = 9 || 62>22 = 4> || 89>07 = 82>,known_family
00d8b3db,69/52,17/,abs_diff_2d_op_suffix,2,0,,same_operator_examples_conflict,34/44 = 1 || 41/32 = 9 || 34|25 = 69 || 87\64 = 8853,known_family
094bf548,80:32,48,abs_diff_2d|x_minus_y,3,3,-48|48|:48,query_format_ambiguous,88(64 = 8864 || 27:81 = 54 || 52:57 = 5 || 25:81 = 56,report17
904e3a54,76:10,66,abs_diff_2d|x_minus_y,2,2,66|:66,query_format_ambiguous,83(50 = 134 || 27:29 = :2 || 49:99 = :50 || 84/71 = 5963,report17
d78128b2,73-21,52,abs_diff_2d|x_minus_y,4,0,,same_operator_examples_conflict,71-11 = 6 || 19-16 = 03 || 22-53 = -31 || 17-33 = 83 || 65*99 = 5455,report17
df309eeb,02%79,77,abs_diff_2d,4,0,,same_operator_examples_conflict,11%89 = 78 || 44%38 = 93 || 42%42 = 0 || 86&73 = 6152 || 46%23 = 23%,report17
0641ef58,54-89,-35,x_minus_y,3,0,,same_operator_examples_conflict,76-68 = -91 || 16-61 = -54 || 39-02 = -37 || 36+88 = 151 || 85+12 = 97,report17
42d4dcf7,65-57,91,comp99_abs_diff_2d,3,0,,same_operator_examples_conflict,26-31 = 01 || 21-49 = 01 || 07*65 = 0293 || 38-07 = 31,report17
764b4288,49^76,72,comp99_abs_diff_2d,3,0,,same_operator_examples_conflict,72^14 = 41 || 63^22 = 41 || 68^34 = 34,report17
808a8f62,35-72,62,comp99_abs_diff_2d,3,0,,same_operator_examples_conflict,91-81 = 1 || 69+89 = 591 || 76-26 = 5 || 17-02 = 15,report17
80d44fe3,"65""38",72,comp99_abs_diff_2d,3,0,,same_operator_examples_conflict,"57""87 = 3 || 27""45 = 81 || 75<34 = 001 || 14<69 = 731 || 85""21 = 01",report17
84030b0b,36)12,24,abs_diff_2d|x_minus_y,3,0,,same_operator_examples_conflict,"86)76 = 1 || 02""54 = 009 || 14""39 = 3183 || 84)76 = )91 || 55)21 = 34",report17
96efb93a,"95""57",61,comp99_abs_diff_2d,3,0,,same_operator_examples_conflict,"16*05 = 0503 || 17""82 = 34"" || 78""48 = 3"" || 86""33 = 53""",report17
97dee6aa,74-03,71,abs_diff_2d|x_minus_y,3,0,,same_operator_examples_conflict,16-06 = 1 || 16-89 = 73 || 91-96 = 21 || 54*16 = 4472 || 11*82 = 703,report17
9d7af57b,33`56,89,x_plus_y,3,0,,same_operator_examples_conflict,37`44 = 711 || 96`97 = 841 || 31&82 = 463 || 51&27 = 0801 || 23`41 = 64,report17
bc42e664,47*75,71,comp99_abs_diff_2d,3,0,,same_operator_examples_conflict,26*99 = *73 || 62<75 = 3841 || 29*19 = 1 || 34*64 = *3,report17
04171e29,97-65,32,abs_diff_2d|x_minus_y,2,0,,same_operator_examples_conflict,34-73 = 6 || 28*71 = 4931 || 56-45 = 11 || 13*39 = 3882 || 57*67 = 0075,report17
08d8d7e1,65+23,88,x_plus_y,2,0,,same_operator_examples_conflict,41+98 = 301 || 94+07 = 911 || 06*49 = 4906 || 95*27 = 2795,report17
1ee54412,58-85,72,comp99_abs_diff_2d,2,0,,same_operator_examples_conflict,07:33 = 301 || 58:23 = 711 || 08:89 = 871 || 93-13 = 8 || 56-95 = 6,report17
1f0fbe5f,54-68,14,abs_diff_2d,2,0,,same_operator_examples_conflict,06*79 = 0285 || 75-72 = 3 || 88-32 = 91,report17
21261dc6,02-27,-25,x_minus_y,2,0,,same_operator_examples_conflict,05-25 = -2 || 74*67 = 2753 || 89-85 = -04,report17
23800316,44]35,79,x_plus_y,2,0,,same_operator_examples_conflict,87*46 = 41 || 38]67 = 951 || 58]95 = 441,report17
25eb7b03,54#31,23,abs_diff_2d|x_minus_y,2,0,,same_operator_examples_conflict,86#98 = #12 || 97{45 = 7624 || 73#07 = #33,report17
26168be6,23+76,99,x_plus_y,2,0,,same_operator_examples_conflict,96+63 = 501 || 08-09 = -01 || 64+72 = 37,report17
274def88,85-92,92,comp99_abs_diff_2d,2,0,,same_operator_examples_conflict,33*74 = 2551 || 29-79 = -5 || 17+69 = 861 || 01-72 = -71 || 42*38 = 3991,report17
32815b79,34)62,96,x_plus_y,2,0,,same_operator_examples_conflict,23+35 = +12 || 89)87 = 671 || 86]22 = 6941 || 58)18 = 661,report17
348d6225,55+43,98,x_plus_y,2,0,,same_operator_examples_conflict,48+09 = 471 || 35>98 = 6174 || 26+11 = 37,report17
42553fde,04?73,77,x_plus_y,2,0,,same_operator_examples_conflict,16?21 = 37 || 48?06 = 441 || 12!65 = 6711,report17
45df54db,56-91,64,comp99_abs_diff_2d,2,0,,same_operator_examples_conflict,23-79 = 56 || 22+68 = 801 || 29-58 = 7,report17
4ff92c73,75-38,62,comp99_abs_diff_2d,2,0,,same_operator_examples_conflict,33-91 = 41 || 32-33 = 01 || 31*13 = 204 || 82*28 = 5922,report17
5e67b1a1,32{31,63,x_plus_y,2,0,,same_operator_examples_conflict,93{16 = 001 || 18}99 = 9108 || 99{97 = 871 || 11<35 = 24<,report17
75eaf687,79'82,96,comp99_abs_diff_2d,2,0,,same_operator_examples_conflict,57'86 = 7 || 77?09 = 1396 || 56*96 = 431 || 54'72 = 81,report17
9e5d97de,48-31,79,x_plus_y,2,0,,same_operator_examples_conflict,65-44 = 001 || 97-88 = 761 || 71%76 = 8311 || 96?03 = 93?,report17
9ff6e9d2,65-54,11,abs_diff_2d|x_minus_y,2,0,,same_operator_examples_conflict,18-55 = 62 || 26-15 = 11 || 02+03 = 05,report17
a7d582da,92-41,51,abs_diff_2d|x_minus_y,2,0,,same_operator_examples_conflict,36-03 = 33 || 65-07 = -41 || 02*44 = 4402 || 43*44 = 4443,report17
b4a5076f,62<13,75,x_plus_y,2,0,,same_operator_examples_conflict,84!87 = 03 || 95<16 = 021 || 88!71 = 3 || 38<94 = 231 || 12$38 = 3471,report17
c170f7d4,01-16,-15,x_minus_y,2,0,,same_operator_examples_conflict,82-22 = 6 || 02-66 = -64 || 26+67 = 6726 || 83*15 = 1583 || 33*06 = 0633,report17
c613082a,78-47,31,abs_diff_2d|x_minus_y,2,0,,same_operator_examples_conflict,24-35 = -11 || 19+49 = 481 || 82+02 = 74 || 09-63 = 45,report17
cf517124,03^21,24,x_plus_y,2,0,,same_operator_examples_conflict,"44^31 = 75 || 95""96 = 01 || 45^88 = 241",report17
f0a2d457,86<09,22,comp99_abs_diff_2d,2,0,,same_operator_examples_conflict,05/32 = 0532 || 23/82 = 2382 || 73<25 = 51 || 95<05 = 9< || 45/79 = 4579,report17
fc7e53c7,77-35,42,abs_diff_2d|x_minus_y,2,0,,same_operator_examples_conflict,03+99 = 9903 || 12-64 = -52 || 28-88 = -6,report17
febd3442,64-77,13,abs_diff_2d,2,0,,same_operator_examples_conflict,96-27 = 3 || 78+05 = 631 || 31*82 = 463 || 76-66 = 1,report17
