symbol_query_operator,answer_len,answer_has_operator_char,same_operator_bucket,rows,representative_ids
*,4,False,1,22,"2d3e809c,5d44a0b2,dd626fd0,15a1d279,418895f5"
*,4,False,2,17,"1580f498,4d39d098,837af955,88fe5a52,98bb54f7"
-,3,True,1,16,"13892a7c,e102a09d,10fdae00,2dd48cac,33093ed0"
+,3,False,1,14,"4dbec546,56343b77,a7454fdb,1f0674b0,25f2f2cd"
+,3,False,2,14,"50c0b6f8,5fe8d710,912d2b79,94bf323a,1497f970"
+,2,False,1,10,"3013265c,30c0d5a2,49578b02,4a569495,4cf073bf"
+,3,False,3,8,"0819520a,163db2d8,3ec77e36,1f4c8169,59b2cbbf"
+,2,False,2,7,"2423926d,c81411a2,d033513f,2e2d60b2,3937cbf8"
$,3,False,1,4,"50630ad8,ef6bc241,11f62c83,db4383f3"
*,3,False,1,4,"c0f32a1e,026106f5,620c2521,759cbdde"
*,4,False,3,4,"40c53743,68b9b9a8,850dc715,a9deb8b5"
-,1,False,2,4,"333d93ec,3b2e0cc3,58fed63a,b73d0898"
-,2,False,1,4,"8373daa8,3383d4ec,5d834875,fb3f7b77"
@,3,False,2,4,"286135d3,518d8529,bf4bd858,e4b6ce82"
},3,False,1,4,"e9afa4a0,17c98340,912c6ea5,b3ae7f39"
-,2,True,1,4,"4179c322,812c12cb,d3092ac1,12d4a2df"
$,4,False,2,3,"6bd59a1f,9f2fae58,bd4c584a"
%,4,False,3,3,"6c9e4485,3b51288b,69197d42"
&,3,False,1,3,"2c8e2e06,1d92ba5d,bc7f14d1"
*,2,False,1,3,"49919931,49ac9daf,614408ea"
[,4,False,1,3,"b3f9a15c,4f660f4b,61766c6f"
-,3,True,4+,3,"4245e455,7688e06e,c541eb82"
!,4,False,1,2,"379d18b7,3b7e71b2"
!,4,False,3,2,"1cb4d524,7ecdae14"
"""",4,False,1,2,"5f5a73ff,ddb9aafd"
#,3,False,1,2,"9b9e024b,4d92de08"
),3,False,1,2,"d204b9cc,cd94ec17"
*,3,False,2,2,"c857a727,87a902eb"
+,3,False,4+,2,"2bc2a65a,691f2f76"
-,1,False,1,2,"8d652f91,9fb854c3"
-,1,False,3,2,"b643d81f,339149c9"
/,3,False,1,2,"cc800930,902da958"
/,4,False,1,2,"01cd504a,b980017a"
:,1,False,1,2,"55f19327,5144897d"
<,2,False,1,2,"6d3b9da4,fa7426d3"
<,3,False,2,2,"5bc9b870,f3cecf2f"
<,4,False,1,2,"14905278,75645166"
?,3,False,1,2,"6e6f8d9c,81c7ba7a"
@,2,False,1,2,"21519be7,ca8929f5"
@,4,False,1,2,"76b79a0c,9ae3b78e"
[,3,False,1,2,"49bc1b7b,93f3ae6b"
],4,False,1,2,"1019ee55,a1bae076"
^,2,False,1,2,"5787c3d0,773ca8a9"
`,3,False,2,2,"a23e7ecb,ead8fe28"
{,4,False,2,2,"6cd73bdd,207ab66f"
|,3,False,1,2,"9b1ea308,b5e1e604"
-,2,True,2,2,"39fd934f,957c70fd"
-,3,True,2,2,"13ad7bce,b655eee9"
!,2,False,1,1,87711597
!,2,False,2,1,f463ee16
!,3,False,2,1,47c368d8
"""",1,False,2,1,744a2570
"""",2,False,1,1,db5a5b71
"""",3,False,2,1,31eb8247
"""",3,False,3,1,95d8ff2c
"""",4,False,2,1,10ff9431
#,4,False,1,1,d21c7677
#,4,False,2,1,4b70414e
$,1,False,1,1,d4b08884
$,2,False,1,1,fecad63c
$,3,False,3,1,3c12aeb9
$,4,False,1,1,cee07c09
%,2,False,2,1,a1523a63
%,3,False,2,1,553b3af9
%,3,False,3,1,d6a2e332
%,4,False,1,1,3acfa7a4
%,4,False,2,1,ce507d39
&,2,False,1,1,d8a47cb7
&,3,False,3,1,4d1ae327
&,4,False,2,1,6da9eb9a
',2,False,3,1,26b716ed
',3,False,1,1,3a8a4ebc
',4,False,1,1,412a209f
(,2,False,2,1,d9bedb64
(,3,False,1,1,9d68ef62
(,4,False,1,1,c2199ff2
),3,False,3,1,2fb20366
),4,False,3,1,79acd75c
*,1,False,3,1,f6db706e
*,3,False,3,1,d44ef285
+,1,False,1,1,5dc0aca5
+,2,False,3,1,ed561f79
+,2,False,4+,1,93481650
+,4,False,1,1,155b4694
-,1,False,4+,1,3e42c4f9
-,2,False,2,1,b99d3059
-,3,False,1,1,f96e1e6e
-,3,False,2,1,144a3e31
-,4,False,1,1,67f1bc8a
-,4,False,3,1,d8b3310a
/,2,False,1,1,2afebbc3
/,3,False,2,1,7a962e17
:,3,False,1,1,806eba07
:,4,False,2,1,35672155
:,4,False,3,1,1861c08f
<,1,False,1,1,64fe405e
<,3,False,1,1,e5956ffa
>,2,False,2,1,4f8da43f
>,3,False,3,1,114a8d85
>,4,False,1,1,320d8d2b
>,4,False,2,1,836d6c4a
>,4,False,4+,1,5aeb4ba5
?,2,False,1,1,c11777c0
?,4,False,2,1,4c19c1cb
@,1,False,1,1,9250a0a8
@,4,False,2,1,2e044d8e
\,1,False,1,1,58b9492e
\,3,False,1,1,3c8a4e7c
\,3,False,2,1,6402d0ee
\,4,False,1,1,f299569f
\,4,False,2,1,d78ce112
^,1,False,1,1,705bb686
^,3,False,1,1,8e359dc8
^,3,False,3,1,9a5b6b28
^,4,False,1,1,a2252b88
^,4,False,4+,1,44398869
`,2,False,2,1,61bbcdc3
`,4,False,1,1,93d1c7eb
`,4,False,3,1,3687b4bb
{,3,False,1,1,0c8a8a16
{,3,False,2,1,a9c57983
{,3,False,3,1,22288152
{,4,False,1,1,791056ce
{,4,False,3,1,f66f0fe0
|,4,False,1,1,e3b3573a
|,4,False,3,1,921da788
},1,False,1,1,45076dc9
},2,False,1,1,07cbed38
},4,False,1,1,fe393711
},4,False,2,1,37f04e3e
*,2,True,3,1,e667f2d7
*,3,True,1,1,d22f2d08
+,3,True,1,1,6b769a9e
-,2,True,4+,1,852d16cb
-,3,True,3,1,7ac90433
/,3,True,1,1,da3f727d
/,3,True,2,1,99cc2e07
